epochs,seed,model_kind,date,daily_ic
3,17,concat_a:intensity_indexret,2024-10-10,0.036923076923076927
3,17,concat_a:intensity_indexret,2024-10-11,0.1453846153846154
3,17,concat_a:intensity_indexret,2024-10-14,0.09615384615384616
3,17,concat_a:intensity_indexret,2024-10-15,0.08923076923076922
3,17,concat_a:intensity_indexret,2024-10-16,-0.2053846153846154
3,17,concat_a:intensity_indexret,2024-10-17,-0.2553846153846154
3,17,concat_a:intensity_indexret,2024-10-18,-0.16153846153846155
3,17,concat_a:intensity_indexret,2024-10-21,0.23076923076923078
3,17,concat_a:intensity_indexret,2024-10-22,0.11307692307692309
3,17,concat_a:intensity_indexret,2024-10-23,-0.05615384615384616
3,17,concat_a:intensity_indexret,2024-10-24,0.21538461538461537
3,17,concat_a:intensity_indexret,2024-10-25,0.13538461538461538
3,17,concat_a:intensity_indexret,2024-10-28,0.013846153846153848
3,17,concat_a:intensity_indexret,2024-10-29,0.3276923076923077
3,17,concat_a:intensity_indexret,2024-10-30,0.30769230769230765
3,17,concat_a:intensity_indexret,2024-10-31,-0.03769230769230769
3,17,concat_a:intensity_indexret,2024-11-01,-0.2653846153846154
3,17,concat_a:intensity_indexret,2024-11-04,0.11076923076923079
3,17,concat_a:intensity_indexret,2024-11-05,-0.06384615384615384
3,17,concat_a:intensity_indexret,2024-11-06,-0.008461538461538461
3,17,concat_a:intensity_indexret,2024-11-07,-0.2553846153846154
3,17,concat_a:intensity_indexret,2024-11-08,-0.15615384615384614
3,17,concat_a:intensity_indexret,2024-11-11,-0.13
3,17,concat_a:intensity_indexret,2024-11-12,-0.3707692307692308
3,17,concat_a:intensity_indexret,2024-11-13,-0.3484615384615385
3,17,concat_a:intensity_indexret,2024-11-14,0.22153846153846157
3,17,concat_a:intensity_indexret,2024-11-15,0.4115384615384615
3,17,concat_a:intensity_indexret,2024-11-18,0.30230769230769233
3,17,concat_a:intensity_indexret,2024-11-19,0.41923076923076924
3,17,concat_a:intensity_indexret,2024-11-20,0.2776923076923077
3,17,concat_a:intensity_indexret,2024-11-21,0.23427582660720425
3,17,concat_a:intensity_indexret,2024-11-22,0.43153846153846154
3,17,concat_a:intensity_indexret,2024-11-25,0.22538461538461538
3,17,concat_a:intensity_indexret,2024-11-26,0.28384615384615386
3,17,concat_a:intensity_indexret,2024-11-27,0.05384615384615384
3,17,concat_a:intensity_indexret,2024-11-29,0.057692307692307696
3,17,concat_a:intensity_indexret,2024-12-02,-0.1623076923076923
3,17,concat_a:intensity_indexret,2024-12-03,0.010769230769230769
3,17,concat_a:intensity_indexret,2024-12-04,-0.20923076923076922
